Date ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
12-Nov-20,2686.00,2713.00,2661.75,2687.80,2674.75,2671.05,2679.78,2885.00,1506.05,2437505.00,6531986739.75,100997.00
11-Nov-20,2667.95,2692.80,2643.40,2649.60,2687.50,2687.80,2669.85,2885.00,1506.05,3242441.00,8656831441.85,168899.00
10-Nov-20,2697.20,2713.15,2638.35,2726.60,2653.95,2649.60,2663.45,2885.00,1506.05,4760020.00,12678056831.10,240272.00
9-Nov-20,2731.10,2744.00,2695.10,2707.45,2726.00,2726.60,2720.53,2885.00,1506.05,3646592.00,9920661493.20,162134.00
6-Nov-20,2699.00,2713.25,2681.30,2685.70,2711.00,2707.45,2699.35,2885.00,1506.05,3884421.00,10485427441.60,132771.00
5-Nov-20,2685.00,2710.00,2667.00,2653.15,2688.00,2685.70,2688.19,2885.00,1506.05,2816502.00,7571301989.25,119199.00
4-Nov-20,2610.00,2721.85,2610.00,2633.60,2656.00,2653.15,2683.56,2885.00,1506.05,4893928.00,13133144835.10,210543.00
3-Nov-20,2604.00,2665.00,2601.05,2604.60,2629.00,2633.60,2635.01,2885.00,1506.05,2879269.00,7586913378.45,117355.00
2-Nov-20,2660.00,2664.85,2600.05,2664.85,2608.00,2604.60,2618.15,2885.00,1506.05,2571196.00,6731784552.10,117447.00
30-Oct-20,2636.10,2674.35,2621.60,2632.65,2663.55,2664.85,2654.92,2885.00,1506.05,3427003.00,9098415228.85,120277.00
29-Oct-20,2608.00,2655.00,2600.25,2622.20,2632.10,2632.65,2634.88,2885.00,1506.05,3105970.00,8183860034.10,121416.00
28-Oct-20,2650.00,2655.95,2606.00,2630.15,2619.50,2622.20,2625.65,2885.00,1506.05,3569515.00,9372292382.95,143177.00
27-Oct-20,2699.75,2718.15,2624.10,2688.20,2634.80,2630.15,2654.79,2885.00,1506.05,3537594.00,9391582219.20,172659.00
26-Oct-20,2689.95,2709.95,2670.50,2686.80,2690.10,2688.20,2694.09,2885.00,1506.05,2672766.00,7200673675.90,101255.00
23-Oct-20,2687.80,2702.00,2670.10,2671.15,2687.00,2686.80,2687.39,2885.00,1506.05,3499372.00,9404177977.30,124614.00
22-Oct-20,2661.00,2686.65,2638.10,2675.40,2672.90,2671.15,2664.97,2885.00,1506.05,5262311.00,14023911495.40,167510.00
21-Oct-20,2739.00,2749.00,2663.05,2739.00,2678.00,2675.40,2700.88,2885.00,1506.05,4570175.00,12343484213.25,207866.00
20-Oct-20,2725.00,2759.90,2717.95,2711.55,2739.00,2739.00,2743.85,2885.00,1506.05,3406298.00,9346383058.65,137012.00
19-Oct-20,2774.00,2774.00,2706.60,2763.30,2714.80,2711.55,2723.63,2885.00,1506.05,3331194.00,9072949037.95,151449.00
16-Oct-20,2750.10,2771.65,2731.30,2740.60,2757.00,2763.30,2756.34,2885.00,1506.05,5273773.00,14536328866.35,111405.00
15-Oct-20,2811.00,2827.75,2727.00,2809.60,2734.00,2740.60,2757.66,2885.00,1506.05,6629395.00,18281595593.85,190209.00
14-Oct-20,2842.00,2842.00,2787.55,2826.55,2810.00,2809.60,2808.82,2885.00,1506.05,4395979.00,12347502777.85,143887.00
13-Oct-20,2845.00,2854.90,2812.20,2830.00,2830.50,2826.55,2834.44,2885.00,1506.05,4209905.00,11932743666.45,156554.00
12-Oct-20,2815.50,2854.00,2800.75,2812.95,2826.15,2830.00,2832.22,2885.00,1506.05,4623211.00,13093942156.10,164934.00
9-Oct-20,2810.00,2829.85,2780.00,2825.70,2811.00,2812.95,2804.80,2885.00,1506.05,7739375.00,21707426130.55,239979.00
8-Oct-20,2800.00,2885.00,2800.00,2735.95,2818.45,2825.70,2855.52,2885.00,1506.05,19839826.00,56653099950.90,542541.00
7-Oct-20,2742.00,2770.00,2703.00,2714.30,2752.80,2735.95,2728.88,2770.00,1506.05,9656167.00,26350562848.35,306556.00
6-Oct-20,2736.00,2736.00,2650.10,2705.80,2718.00,2714.30,2688.29,2736.00,1506.05,9846376.00,26469933698.35,308149.00
5-Oct-20,2620.00,2728.10,2603.05,2523.45,2713.95,2705.80,2670.27,2728.10,1506.05,17412119.00,46495113781.25,495784.00
1-Oct-20,2510.00,2540.00,2492.30,2492.30,2540.00,2523.45,2508.29,2555.00,1506.05,2610338.00,6547481501.45,103469.00
30-Sep-20,2489.00,2505.00,2460.00,2488.40,2483.00,2492.30,2485.20,2555.00,1506.05,3917186.00,9734991232.35,133456.00
29-Sep-20,2434.85,2511.05,2426.30,2426.30,2486.75,2488.40,2489.18,2555.00,1506.05,6995815.00,17413846658.10,235653.00
28-Sep-20,2440.00,2444.00,2366.00,2422.30,2429.00,2426.30,2403.73,2555.00,1506.05,4347177.00,10449459680.45,173323.00
25-Sep-20,2368.00,2440.00,2352.10,2332.25,2417.75,2422.30,2412.24,2555.00,1506.05,8228297.00,19848602662.00,267956.00
24-Sep-20,2450.00,2450.00,2302.60,2467.45,2332.90,2332.25,2355.03,2555.00,1506.05,8425118.00,19841432992.05,304819.00
23-Sep-20,2510.00,2519.85,2409.00,2522.95,2461.05,2467.45,2466.68,2555.00,1506.05,7503152.00,18507863131.70,255912.00
22-Sep-20,2485.00,2555.00,2458.00,2465.30,2527.00,2522.95,2513.02,2555.00,1506.05,7499927.00,18847485589.00,227930.00
21-Sep-20,2465.00,2504.90,2452.15,2449.90,2467.00,2465.30,2484.95,2538.00,1506.05,4598809.00,11427829681.50,182859.00
18-Sep-20,2485.00,2500.40,2436.40,2460.95,2457.50,2449.90,2466.95,2538.00,1506.05,4183256.00,10319878330.85,132358.00
17-Sep-20,2480.00,2495.75,2450.60,2503.00,2466.05,2460.95,2473.58,2538.00,1506.05,4828231.00,11943032180.10,162667.00
16-Sep-20,2488.95,2507.60,2477.30,2491.40,2502.00,2503.00,2492.52,2538.00,1506.05,3074013.00,7662047812.45,126981.00
15-Sep-20,2491.40,2538.00,2464.60,2491.40,2489.00,2491.40,2502.80,2538.00,1506.05,7318773.00,18317394072.10,229851.00
14-Sep-20,2384.10,2505.75,2381.85,2374.10,2485.00,2491.40,2447.42,2505.75,1506.05,7512284.00,18385694525.30,259748.00
11-Sep-20,2330.95,2383.00,2330.15,2331.15,2370.30,2374.10,2367.47,2390.45,1506.05,4145429.00,9814176117.65,161900.00
10-Sep-20,2335.00,2348.50,2324.30,2327.65,2329.10,2331.15,2334.85,2390.45,1506.05,2308813.00,5390730799.20,96578.00
9-Sep-20,2325.00,2359.00,2320.00,2348.20,2322.00,2327.65,2336.59,2390.45,1506.05,3866542.00,9034529930.40,114778.00
8-Sep-20,2335.95,2390.45,2327.05,2327.05,2343.95,2348.20,2365.85,2390.45,1506.05,7454161.00,17635425079.45,233593.00
7-Sep-20,2289.00,2343.50,2283.35,2288.80,2330.00,2327.05,2319.63,2358.00,1506.05,4620416.00,10717678247.75,157714.00
4-Sep-20,2275.00,2324.25,2262.95,2299.50,2297.65,2288.80,2295.35,2358.00,1506.05,5232180.00,12009690379.65,177219.00
3-Sep-20,2268.00,2324.00,2268.00,2265.15,2299.00,2299.50,2301.29,2358.00,1506.05,4654146.00,10710523657.90,170993.00
2-Sep-20,2247.00,2268.75,2241.65,2246.35,2263.75,2265.15,2257.34,2358.00,1506.05,2084152.00,4704640877.00,89121.00
1-Sep-20,2269.00,2278.00,2241.30,2257.25,2250.00,2246.35,2258.27,2358.00,1506.05,3610908.00,8154397946.30,122003.00
31-Aug-20,2240.00,2276.20,2228.00,2238.55,2245.95,2257.25,2252.44,2358.00,1506.05,6018160.00,13555530496.30,182980.00
28-Aug-20,2268.40,2279.95,2235.10,2248.40,2238.25,2238.55,2248.99,2358.00,1506.05,2941156.00,6614621419.35,100143.00
27-Aug-20,2266.00,2287.35,2241.75,2253.50,2250.00,2248.40,2265.38,2358.00,1506.05,3579397.00,8108687764.85,113510.00
26-Aug-20,2242.00,2259.90,2216.45,2242.65,2257.00,2253.50,2237.68,2358.00,1506.05,2618159.00,5858592736.10,100248.00
25-Aug-20,2245.00,2250.00,2233.55,2248.10,2242.00,2242.65,2242.51,2358.00,1506.05,1663454.00,3730304574.90,65398.00
24-Aug-20,2250.60,2259.95,2230.00,2248.60,2250.25,2248.10,2245.05,2358.00,1506.05,2167987.00,4867239990.35,70491.00
21-Aug-20,2260.00,2271.00,2241.05,2252.85,2249.75,2248.60,2252.12,2358.00,1506.05,1975304.00,4448615242.40,76072.00
20-Aug-20,2257.00,2276.55,2240.05,2256.60,2249.00,2252.85,2255.13,2358.00,1506.05,2895265.00,6529205375.85,97538.00
19-Aug-20,2276.35,2284.60,2252.50,2269.75,2260.00,2256.60,2264.81,2358.00,1506.05,2843007.00,6438870077.15,87911.00
18-Aug-20,2262.80,2289.00,2248.30,2253.40,2269.80,2269.75,2269.85,2358.00,1506.05,3493411.00,7929511706.25,123985.00
17-Aug-20,2263.00,2270.00,2238.25,2242.15,2260.50,2253.40,2253.53,2358.00,1506.05,2625670.00,5917015488.85,78270.00
14-Aug-20,2277.00,2281.30,2233.10,2254.45,2243.85,2242.15,2256.40,2358.00,1506.05,2270405.00,5122949862.65,95783.00
13-Aug-20,2273.00,2300.00,2250.50,2257.35,2260.00,2254.45,2270.22,2358.00,1506.05,2695682.00,6119799488.95,105012.00
12-Aug-20,2288.35,2296.40,2246.55,2279.90,2262.00,2257.35,2265.65,2358.00,1506.05,3415766.00,7738926541.25,101021.00
11-Aug-20,2283.00,2312.00,2275.60,2282.80,2282.50,2279.90,2290.19,2358.00,1506.05,2774509.00,6354160531.35,91227.00
10-Aug-20,2318.00,2325.00,2276.05,2295.35,2283.00,2282.80,2301.82,2358.00,1506.05,2929385.00,6742908492.05,83569.00
7-Aug-20,2308.00,2328.00,2287.00,2308.10,2295.00,2295.35,2303.80,2358.00,1506.05,3165495.00,7292669632.45,98547.00
6-Aug-20,2275.00,2319.50,2265.35,2259.50,2309.85,2308.10,2300.33,2358.00,1506.05,4748348.00,10922785842.90,179033.00
5-Aug-20,2260.00,2300.00,2253.00,2249.70,2259.00,2259.50,2270.76,2358.00,1506.05,3800641.00,8630352070.20,140871.00
4-Aug-20,2259.95,2269.65,2225.05,2254.15,2249.95,2249.70,2248.00,2358.00,1506.05,2927953.00,6582042650.30,113209.00
3-Aug-20,2290.45,2303.85,2230.70,2281.40,2249.00,2254.15,2255.66,2358.00,1506.05,4012445.00,9050704298.70,124563.00
31-Jul-20,2303.15,2334.80,2257.45,2279.50,2290.45,2281.40,2295.95,2358.00,1506.05,4723290.00,10844452626.95,183229.00
30-Jul-20,2285.90,2358.00,2272.25,2276.05,2281.00,2279.50,2315.35,2358.00,1506.05,7098913.00,16436494607.90,252271.00
29-Jul-20,2292.00,2342.00,2246.05,2309.75,2279.00,2276.05,2291.87,2342.00,1506.05,6090440.00,13958512382.70,231420.00
28-Jul-20,2215.00,2320.00,2215.00,2206.80,2310.20,2309.75,2273.26,2333.00,1506.05,8092458.00,18396258568.50,261902.00
27-Jul-20,2165.00,2215.00,2163.50,2157.40,2205.00,2206.80,2196.82,2333.00,1506.05,4248837.00,9333922682.60,185606.00
24-Jul-20,2154.50,2163.00,2125.10,2171.20,2158.80,2157.40,2143.70,2333.00,1506.05,3665123.00,7856912134.45,154927.00
23-Jul-20,2190.95,2190.95,2163.00,2190.95,2174.20,2171.20,2175.33,2333.00,1506.05,2265791.00,4928835981.45,100469.00
22-Jul-20,2231.00,2231.00,2184.20,2225.05,2190.00,2190.95,2199.54,2333.00,1506.05,2861698.00,6294421979.40,108851.00
21-Jul-20,2230.00,2238.65,2201.15,2207.90,2224.55,2225.05,2220.42,2333.00,1506.05,2665386.00,5918277153.05,128640.00
20-Jul-20,2201.00,2226.90,2190.80,2200.75,2214.00,2207.90,2205.50,2333.00,1506.05,2952719.00,6512221316.75,99805.00
17-Jul-20,2237.00,2243.90,2190.05,2234.75,2207.90,2200.75,2204.05,2333.00,1506.05,4509143.00,9938360278.70,183317.00
16-Jul-20,2244.00,2333.00,2220.10,2233.90,2233.00,2234.75,2275.23,2333.00,1506.05,8582120.00,19526280238.75,279321.00
15-Jul-20,2185.00,2260.00,2181.10,2171.95,2231.10,2233.90,2228.76,2302.70,1506.05,5569322.00,12412685911.00,201144.00
14-Jul-20,2210.00,2239.00,2165.00,2220.00,2175.00,2171.95,2199.60,2302.70,1506.05,2976749.00,6547668459.85,117480.00
13-Jul-20,2220.00,2244.95,2210.00,2222.35,2222.25,2220.00,2225.83,2302.70,1506.05,2963525.00,6596301813.00,100495.00
10-Jul-20,2205.25,2249.85,2176.00,2204.35,2221.10,2222.35,2210.93,2302.70,1506.05,9610327.00,21247734506.45,292369.00
9-Jul-20,2229.00,2244.50,2191.05,2218.90,2212.50,2204.35,2209.06,2302.70,1506.05,3443998.00,7608014933.10,133367.00
8-Jul-20,2270.00,2274.40,2207.60,2269.90,2219.00,2218.90,2240.93,2302.70,1506.05,2793674.00,6260425745.30,130484.00
7-Jul-20,2275.00,2302.70,2232.15,2263.20,2269.90,2269.90,2263.92,2302.70,1506.05,5630081.00,12746071795.85,206374.00
6-Jul-20,2205.00,2269.90,2205.00,2199.65,2261.00,2263.20,2247.63,2296.20,1506.05,5190366.00,11666032835.75,161168.00
3-Jul-20,2163.65,2205.00,2160.25,2157.15,2195.00,2199.65,2188.80,2296.20,1506.05,4185215.00,9160581121.55,130448.00
2-Jul-20,2102.00,2165.00,2098.00,2092.05,2159.00,2157.15,2143.79,2296.20,1506.05,3758709.00,8057866454.25,140145.00
1-Jul-20,2079.70,2113.95,2079.50,2082.15,2095.00,2092.05,2100.06,2296.20,1506.05,2503466.00,5257440478.80,103067.00
30-Jun-20,2100.00,2111.90,2075.05,2101.65,2085.05,2082.15,2091.70,2296.20,1506.05,3071877.00,6425458895.35,121691.00
29-Jun-20,2108.00,2127.60,2091.30,2118.85,2103.45,2101.65,2104.79,2296.20,1506.05,3076344.00,6475066353.75,109993.00
26-Jun-20,2025.00,2132.00,2019.95,2016.10,2115.20,2118.85,2095.55,2296.20,1506.05,6300912.00,13203873993.95,237429.00
25-Jun-20,2035.00,2060.00,2009.25,2042.20,2015.40,2016.10,2033.26,2296.20,1506.05,3044089.00,6189426011.20,127554.00
24-Jun-20,2034.00,2064.25,2031.60,2035.30,2042.00,2042.20,2052.03,2296.20,1506.05,2560951.00,5255143082.70,125500.00
23-Jun-20,2027.00,2044.00,2010.00,2027.95,2039.00,2035.30,2027.43,2296.20,1506.05,4206122.00,8527623665.40,136481.00
22-Jun-20,2050.00,2052.25,2019.15,2044.60,2032.00,2027.95,2033.74,2296.20,1506.05,3196138.00,6500116008.40,109018.00
19-Jun-20,2042.00,2090.00,2032.00,2038.10,2043.65,2044.60,2050.29,2296.20,1506.05,5681784.00,11649300600.55,152183.00
18-Jun-20,2045.00,2059.20,2025.20,2047.80,2036.20,2038.10,2039.63,2296.20,1506.05,1944471.00,3966007263.55,77874.00
17-Jun-20,2046.00,2058.85,2026.55,2045.80,2048.00,2047.80,2042.73,2296.20,1506.05,2703546.00,5522609994.85,92658.00
16-Jun-20,2065.00,2073.95,2031.00,2029.90,2041.80,2045.80,2051.87,2296.20,1506.05,2146528.00,4404387581.95,89213.00
15-Jun-20,2039.10,2059.00,2000.95,2039.50,2036.20,2029.90,2027.78,2296.20,1506.05,2399028.00,4864706967.65,97163.00
